epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.7762500047683716,0.5068423748016357,0.001,0.8550000190734863,0.435700386762619
1,0.8487499952316284,0.35537776350975037,0.001,0.8866666555404663,0.2806949317455292
2,0.8695833086967468,0.3259921371936798,0.001,0.8899999856948853,0.26826196908950806
3,0.8787500262260437,0.3029901385307312,0.001,0.8949999809265137,0.28577539324760437
4,0.8762500286102295,0.2894198000431061,0.001,0.8816666603088379,0.3080752491950989
5,0.8879166841506958,0.2722416818141937,0.001,0.8700000047683716,0.3176981508731842
6,0.893750011920929,0.25905656814575195,0.001,0.9116666913032532,0.2534621059894562
7,0.8987500071525574,0.25735872983932495,0.001,0.9083333611488342,0.24602894484996796
8,0.8995833396911621,0.265500009059906,0.001,0.9066666960716248,0.26740702986717224
9,0.9116666913032532,0.23152127861976624,0.001,0.9100000262260437,0.25065070390701294
10,0.9037500023841858,0.24549855291843414,0.001,0.903333306312561,0.235769122838974
11,0.9200000166893005,0.2214764654636383,0.000100000005,0.9116666913032532,0.23749962449073792
12,0.9162499904632568,0.21350763738155365,0.000100000005,0.9049999713897705,0.23881080746650696
13,0.9170833230018616,0.21093082427978516,0.000100000005,0.9116666913032532,0.23828129470348358
14,0.9204166531562805,0.21015262603759766,0.000100000005,0.9166666865348816,0.24097248911857605
15,0.9133333563804626,0.20876094698905945,0.000100000005,0.9100000262260437,0.2362014204263687
16,0.9200000166893005,0.20632202923297882,0.000100000005,0.9133333563804626,0.23746608197689056
17,0.9212499856948853,0.20270666480064392,0.000100000005,0.9116666913032532,0.2368229180574417
18,0.9279166460037231,0.2000310868024826,0.000100000005,0.9133333563804626,0.2370263636112213
19,0.92166668176651,0.200846865773201,1.0000001e-05,0.9133333563804626,0.23596669733524323
20,0.9275000095367432,0.19646359980106354,1.0000001e-05,0.9083333611488342,0.23509350419044495
21,0.9254166483879089,0.19804051518440247,1.0000001e-05,0.9100000262260437,0.2353861927986145
22,0.9212499856948853,0.20607513189315796,1.0000001e-05,0.9116666913032532,0.23634691536426544
23,0.9241666793823242,0.19882291555404663,1.0000001e-06,0.9116666913032532,0.23582135140895844
24,0.925000011920929,0.2006635069847107,1.0000001e-06,0.9100000262260437,0.2350761890411377
25,0.9195833206176758,0.2026226818561554,1.0000001e-06,0.9116666913032532,0.2355685979127884
26,0.9241666793823242,0.19937022030353546,1.0000001e-06,0.9083333611488342,0.2354186475276947
27,0.925000011920929,0.19443073868751526,1.0000001e-07,0.9100000262260437,0.2354261577129364
28,0.9270833134651184,0.18996192514896393,1.0000001e-07,0.9116666913032532,0.23532190918922424
29,0.9262499809265137,0.2024940401315689,1.0000001e-07,0.9100000262260437,0.23582588136196136
30,0.9270833134651184,0.1986832469701767,1.0000001e-07,0.9116666913032532,0.23588648438453674
31,0.9275000095367432,0.20011886954307556,1.0000001e-08,0.9083333611488342,0.23506078124046326
32,0.9262499809265137,0.1942550241947174,1.0000001e-08,0.9083333611488342,0.23453742265701294
33,0.9262499809265137,0.19734667241573334,1.0000001e-08,0.9083333611488342,0.23478655517101288
